Code,PMG,Register,Scrape
CW698,1,0,0
CW70,1,0,0
CW702,1,0,0
CW704,1,0,0
CW705,1,0,0
CW71,1,0,0
CW714,1,0,0
CW717,1,0,0
CW719,1,0,0
CW72,1,0,0
CW720,1,0,0
CW722,1,0,0
CW723,1,0,0
CW724,1,0,0
CW726,1,0,0
CW727,1,0,0
CW728,1,0,0
CW729,1,0,0
CW73,1,0,0
CW730,1,0,0
CW732,1,0,0
CW734,1,0,0
CW735,1,0,0
CW736,1,0,0
CW737,1,0,0
CW738,1,0,0
CW739,1,0,0
CW740,1,0,0
CW741,1,0,0
CW742,1,0,0
CW743,1,0,0
CW744,1,0,0
CW745,1,0,0
CW746,1,0,0
CW748,1,0,0
CW749,1,0,0
CW75,1,0,0
CW750,1,0,0
CW751,1,0,0
CW752,1,0,0
CW753,1,0,0
CW754,1,0,0
CW755,1,0,0
CW756,1,0,0
CW757,1,0,0
CW758,1,0,0
CW761,1,0,0
CW763,1,0,0
CW764,1,0,0
CW765,1,0,0
CW766,1,0,0
CW767,1,0,0
CW768,1,0,0
CW77,1,0,0
CW775,1,0,0
CW776,1,0,0
CW778,1,0,0
CW779,1,0,0
CW78,1,0,0
CW781,1,0,0
CW787,1,0,0
CW79,1,0,0
CW796,1,0,0
CW797,1,0,0
CW798,1,0,0
CW799,1,0,0
CW803,1,0,0
CW804,1,0,0
CW810,1,0,0
CW811,1,0,0
CW82,1,0,0
CW821,1,0,0
CW83,1,0,0
CW832,1,0,0
CW833,1,0,0
CW834,1,0,0
CW835,1,0,0
CW839,1,0,0
CW85,1,0,0
CW850,1,0,0
CW853,1,0,0
CW857,1,0,0
CW858,1,0,0
CW868,1,0,0
CW87,1,0,0
CW872,1,0,0
CW874,1,0,0
CW876,1,0,0
CW89,1,0,0
CW898,1,0,0
CW90,1,0,0
CW91,1,0,0
CW910,1,0,0
CW92,1,0,0
CW925,1,0,0
CW935,1,0,0
CW937,1,0,0
CW938,1,0,0
CW939,1,0,0
CW94,1,0,0
CW943,1,0,0
CW945,1,0,0
CW947,1,0,0
CW948,1,0,0
CW95,1,0,0
CW951,1,0,0
CW952,1,0,0
CW956,1,0,0
CW957,1,0,0
CW958,1,0,0
CW96,1,0,0
CW962,1,0,0
CW963,1,0,0
CW964,1,0,0
CW966,1,0,0
CW97,1,0,0
CW973,1,0,0
CW974,1,0,0
CW975,1,0,0
CW977,1,0,0
CW978,1,0,0
CW981,1,0,0
CW985,1,0,0
CW986,1,0,0
CW988,1,0,0
CW990,1,0,0
CW991,1,0,0
CW992,1,0,0
CW993,1,0,0
CW999,1,0,0
NO10,1,0,1
NO1014,1,0,0
NO1032,1,0,0
NO1033,1,0,0
NO105,1,0,0
NO1089,1,0,0
NO1115,1,0,0
NO1130,1,0,0
NO115,1,0,0
NO1156,1,0,0
NO1160,1,0,0
NO117,1,0,0
NO118,1,0,0
NO119,1,0,0
NO1191,1,0,0
NO1192,1,0,0
NO1196,1,0,0
NO120,1,0,0
NO1207,1,0,0
NO1212,1,0,0
NO1220,1,0,0
NO1232,1,0,0
NO1237,1,0,0
NO1239,1,0,0
NO1251,1,0,0
NO1257,1,0,0
NO1261,1,0,0
NO1269,1,0,0
NO1275,1,0,0
NO1288,1,0,0
NO1292,1,0,0
NO1293,1,0,0
NO1304,1,0,0
NO1305,1,0,0
NO1306,1,0,0
NO1326,1,0,0
NO1334,1,0,0
NO1340,1,0,0
NO149,1,0,0
NO16,1,0,1
NO166,1,0,0
NO168,1,0,0
NO169,1,0,0
NO186,1,0,0
NO190,1,0,0
NO203(72),1,0,0
NO204(73),1,0,0
NO205(78),1,0,0
NO206*167),1,0,0
NO207(168),1,0,0
NO208(169),1,0,0
NO209194,1,0,0
NO210(239),1,0,0
NO211(240),1,0,0
NO212(319),1,0,0
NO213(320),1,0,0
NO214351,1,0,0
NO215(356),1,0,0
NO216357,1,0,0
NO217358,1,0,0
NO237,1,0,1
NO26,1,0,1
NO260(373),1,0,0
NO261(374),1,0,0
NO273,1,0,1
NO285,1,0,1
NO304,0,0,1
NO313,1,0,0
NO319,1,0,1
NO320,0,0,1
NO321,1,0,0
NO325,0,0,1
NO334,0,0,1
NO342,0,0,1
NO35,1,0,1
NO350(165),1,0,1
NO351(713),1,0,1
NO352,0,0,1
NO365,1,0,1
NO37,1,0,1
NO373,1,0,1
NO374,1,0,1
NO376,1,0,1
NO377,1,0,1
NO379,1,0,1
NO389,1,0,1
NO401,1,0,1
NO410,1,0,1
NO419,1,0,1
NO429,1,0,1
NO434,0,0,1
NO437(340),1,0,1
NO438(524),1,0,1
NO439(706),1,0,1
NO44,1,0,0
NO440(979),1,0,1
NO441(1029),1,0,1
NO442(1280),1,0,1
NO443(1287),1,0,1
NO444(1417),1,0,1
NO445(1419),1,0,1
NO446(1430),1,0,1
NO447(1454),0,0,1
NO4471454,1,0,0
NO448(1455),1,0,1
NO449(1634),1,0,1
NO450(1635),1,0,1
NO451(1636),1,0,1
NO452(1637),1,0,1
NO453(1669),0,0,1
NO4531669,1,0,0
NO457,1,0,1
NO467,1,0,1
NO470,1,0,1
NO474,1,0,0
NO487,1,0,1
NO495,1,0,1
NO50,1,0,1
NO500,1,0,0
NO502,1,0,0
NO505,1,0,1
NO521,1,0,1
NO525,1,0,1
NO538,0,0,1
NO543(330),1,0,1
NO544,1,0,0
NO544(591),0,0,1
NO545(723),1,0,1
NO546(724),1,0,0
NO547(759),1,0,1
NO549(1002),0,0,1
NO5491002,1,0,0
NO551,1,0,0
NO553(1240),1,0,1
NO554(1256),1,0,0
NO556(1420),0,0,1
NO5561420,1,0,0
NO557(1424),1,0,1
NO558(1450),1,0,0
NO559(1653),0,0,1
NO5591653,1,0,0
NO560(1654),0,0,1
NO5601654,1,0,0
NO561,1,0,0
NO562(1760),1,0,1
NO569,1,0,0
