id,member,surname,title,gender,initial,profile_pic,party_id
2135,"Douglas, Mr WM",Douglas,Mr,male,WM,Marshall_Douglas.JPG,19
1719,"Mathulelwa, Ms B",Mathulelwa,Ms,female,B,Mathulelwa.jpg,11
712,"Masango, Ms B",Masango,Ms,female,B,Masango.jpg,2
692,"Malema, Mr J",Malema,Mr,male,J,Malema.jpg,11
594,"Malatsi, Mr MS",Malatsi,Mr,male,MS,Malatsi.jpg,2
725,"Holomisa, Mr BH",Holomisa,Mr,male,BH,1/Holomisa.jpg,6
732,"Chetty, Mr M",Chetty,Mr,male,M,Chetty.jpg,2
813,"Cebekhulu, Inkosi RN",Cebekhulu,Inkosi,male,RN,Cebekhulu_N.jpg,4
638,"Van Der Walt, Ms D",Van Der Walt,Ms,female,D,1/van_der_walt.jpg,2
728,"Mabe, Ms BP",Mabe,Ms,female,BP,mabe_resized.jpg,1
746,"Smit, Mr CF",Smit,Mr,male,CF,1/423.jpg,2
1401,"Gantsho, Ms N",Gantsho,Ms,female,N,Gantsho.jpg,1
1880,"Letlape, Ms MS",Letlape,Ms,female,MS,Letlape_s.jpg,11
1397,"Nodada, Mr BB",Nodada,Mr,male,BB,nodada.jpg,2
966,"Nkopane, Ms NS",Nkopane,Ms,female,NS,nkopane.jpg,1
2025,"Letsike, Ms MSE",Letsike,Ms,female,MSE,1/Letsike.jpg,1
818,"Mngxitama, Mr A",Mngxitama,Mr,male,A,1/mngxitama.jpg,19
512,"George, Dr DT",George,Dr,male,DT,George_DT.jpg,2
1412,"Nyhontso, Mr M",Nyhontso,Mr,male,M,nyhontso.jpg,10
1729,"Tambo, Mr S",Tambo,Mr,male,S,tambo.jpg,11
1328,"Boshoff, Dr WJ",Boshoff,Dr,male,WJ,Boshoff.jpg,8
1127,"Aphiri, Ms MJ",Aphiri,Ms,female,MJ,aphiri.jpg,1
2022,"Sangoni, Ms KLN",Sangoni,Ms,female,KLN,sangoni.jpg,1
1753,"Ramolobeng, Ms A",Ramolobeng,Ms,female,A,ramolobeng.jpg,1
1738,"Burns-Ncamashe, Prince Z",Burns-Ncamashe,Prince,male,Z,1/Burns.jpg,1
762,"Essack, Mr F",Essack,Mr,male,F,Essack_F.jpg,2
1750,"Peach, Mr WD",Peach,Mr,male,WD,W_Peach.JPG,2
1763,"Myburgh, Mr NG",Myburgh,Mr,male,NG,Myburgh_ng.jpg,2
559,"Mente-Nkuna, Ms NV",Mente-Nkuna,Ms,female,NV,Mente.jpg,11
1759,"Godongwana, Mr E",Godongwana,Mr,male,E,godongwana....jpg,1
1326,"Mahumapelo, Mr S",Mahumapelo,Mr,male,S,Mahumapelo.jpg,1
1080,"Engelbrecht, Mr J",Engelbrecht,Mr,male,J,1/Engelbrecht.jpg,2
1803,"Dlamini, Ms M",Dlamini,Ms,female,M,Mbali_Dlamini.jpg,11
1275,"Abrahams, Ms ALA",Abrahams,Ms,female,ALA,abrahams.jpg,2
1064,"Bodlani, Ms T",Bodlani,Ms,female,T,1/bodlani.jpg,2
1758,"Simelane, Ms T",Simelane,Ms,female,T,simelane.jpg,1
1844,"Mthethwa, Mr E",Mthethwa,Mr,male,E,E_Mthethwa_EFF.jpg,11
1726,"Nkosi, Ms NE",Nkosi,Ms,female,NE,ethel.jpg,1
1843,"Shikwambana, Mr M",Shikwambana,Mr,male,M,Shikwambana_M.jpg,11
1623,"Ramokgopa, Mr  KD",Ramokgopa,Mr,male,KD,1/ramokgopa.jpg,1
1515,"Khakhau, Ms KL",Khakhau,Ms,female,KL,Khakau.jpg,2
1839,"Moore, Mr S J",Moore,Mr,male,SJ,Moore.jpg,2
313,"Dunjwa, Ms ML",Dunjwa,Ms,female,ML,Dunjwa.jpg,1
287,"Dlakude, Ms DE",Dlakude,Ms,female,DE,dlakude.jpg,1
1714,"Tafeni, Ms N",Tafeni,Ms,female,N,tafen_resized.jpg,11
1012,"Sibiya, Mr J",Sibiya,Mr,male,J,1/sibiya.jpg,1
1842,"Mhlongo, Ms N",Mhlongo,Ms,female,N,N_Mhlongo.jpg,11
1642,"Hassan, Ms F",Hassan,Ms,female,F,Hassan.jpg,1
1853,"Baptie, Mr E",Baptie,Mr,male,E,bPATIE.jpg,2
