id,member,profile_pic,party_id
810,"Maswanganyi, Mr MJ",Maswanganyi.jpg,1
2038,"Bateman, Mr AG",Bateman.jpg,2
1798,"Van Zyl, Ms A M",Van_Zyl.jpg,2
1991,"Makgato, Ms MP",Makgato.jpg,1
2040,"Mofokeng, Ms ML",mofokeng.jpg,1
1718,"Mkhonto, Ms C N",Mkhonto.jpg,11
838,"Mchunu, Mr ES",Mchunu.jpg,1
2041,"Freeman, Ms E",Freeman.jpg,20
249,"Kubayi, Ms M",Kubayi-Ngubane.jpg,1
1413,"Graham-Maré, Ms SJ",Graham.jpg,2
1938,"Letlape, Dr TKS",letlape.jpg,21
580,"Mahlobo, Mr MD",Mahlobo_MB.jpg,1
87,"Sithole, Mr KP",Sithole_kp.jpg,4
2043,"James, Ms DE",James_de.jpg,21
1942,"Nalumango, Ms RS",naumango.jpg,1
1941,"Mgcina, Ms PS",Phumzile_Mgcina.jpg,1
1935,"Chauke-Adonis, Ms TM",TM_Chauke.jpg,1
1914,"Mc Kenzie, Mr G",mckenzie.jpg,20
1937,"Beesley, Mr AD",Alan_Beesley.JPG,21
2044,"Tshotetsi, Mr NT",Mr_Noble_Tshiamo_Tshotetsi.JPG,1
1936,"Kobe, Ms MP",Kobe.jpg,21
1982,"Pholwane, Ms MB",Pholwane.jpg,1
2075,"Gasa, Mr MM",MM_Gasa.jpg,19
1939,"Godlimpi, Mr Z",zuko.JPG,1
2244,"Ligaraba, Ms LE",Ms_Livhuwani_Ethel_Ligaraba.JPG,1
1983,"Moela, Mr MS",Moela.jpg,1
1915,"Rorke, Ms FS",rorke.JPG,20
51,"Gigaba, Mr M",Gigaba.jpg,1
2076,"Gasa, Ms NM",NM_Gasa.jpg,19
951,"Marawu, Ms TL",Marawu_TL.jpg,15
2229,"Salie, Adv S",SD_Salie.JPG,17
1943,"Ntuli, Mr M",2/ntuli.jpg,1
2046,"Mmolotsane, Ms ML",mmolotsane.jpg,1
492,"Boshielo, Ms SP",Boshielo.jpg,1
2077,"Abader, Ms ZS",Zelna_Abader.JPG,19
1944,"Maimela, Ms KJ",Maimela.jpg,1
2081,"Madlala, Mr EK",Madlala.jpg,19
1985,"Ramaila, Mr KS",Ramaila.jpg,1
2047,"Bath, Mr EM",bath.jpg,2
2078,"Gcwabaza, Rev NB",Gcwabaza.jpg,19
2163,"Cloete, Mr EA",Erald_Cloete.JPG,1
1945,"Neale-May, Ms HE",may.jpg,1
2048,"Komane, Mr LM",Komane.jpg,11
1989,"Sauls, Mr A",1/sauls.jpg,20
2049,"Jordaan, Ms C",Jordaan.jpg,2
1134,"Masemola, Mr ND",Masemola.jpg,1
1988,"Ligraba, Ms LE",Ligarabe.jpg,1
2085,"Matutu, Mr MJ",Mandlenkosi_James_Matutu.JPG,19
390,"Muthambi, Ms AF",muthambi.jpg,1
1423,"Hendricks, Mr MGE",Hendricks_MGE.jpg,17
2082,"Mafagane, Ms MC",Mafagane.jpg,19
2050,"Nontenja, Ms TC",Christobel_Thandiwe_Nontenja.JPG,6
1990,"Bila, Ms TJ",Bila_J.jpg,1
1946,"Govana, Ms Y",Yanga_Govana.JPG,1
1948,"Mkutu, Mr L",Mkutu.jpg,1
